ObjectName,RA_hms,Dec_dms,Epoch,Flux_Jy,Frequency_MHz,OtherName,Notes
Sun,variable,variable,2025,100000+,1420,Sun,Strongest radio source; ideal system test
Moon,variable,variable,2025,~1000,1420,Moon,Thermal emitter; excellent beam calibration
Cas A,23 23 24,+58 48 54,2000,2477,1420,SNR-Cassiopeia A,One of the strongest compact sources
Cyg A,19 59 28,+40 44 02,2000,1495,1420,3C 405,Powerful extragalactic radio galaxy
Tau A,05 34 32,+22 00 52,2000,875,1420,3C 144,Crab Nebula SNR
Orion A,05 35 17,-05 23 28,2000,520,1420,3C 145,Extended H II region
Virgo A,12 30 49,+12 23 28,2000,198,1420,3C 274,M87 galaxy; prominent jet source
Cygnus X,20 00 00,+40 00 00,2025,extended,1420,Cygnus X,Very bright extended region
Sagittarius A,17 42 09,-28 50 00,1950,1800,960,CTB 42,Galactic Centre region (extended)
Centaurus A,13 22 28,-42 46 00,1950,2010,960,CTA 59,NGC 5128
3C 400,19 23 42,+14 30 33,2000,576,1420,,SNR complex
3C 392,18 56 06,+01 18 00,2000,171,1420,SNR,
NRAO 5690,18 35 00,-07 20 00,2000,90,1420,,
3C 390.2,18 47 58,-01 56 43,2000,80,1420,,
3C 403.2,19 54 12,+32 54 00,2000,75,1420,,
3C 147.1,05 41 43,-01 54 17,2000,65,1420,Orion B,Flame Nebula region
3C 353,17 20 28,-00 58 47,2000,57,1420,D Galaxy,
NRAO 6210,20 01 42,+33 17 00,2000,55,1420,,
3C 387,18 41 00,-05 16 00,2000,51,1420,,
3C 123,04 37 04,+29 40 14,2000,47,1420,Galaxy,
NRAO 5980,19 10 19,+09 04 07,2000,47,1420,,
3C 273,12 29 07,+02 03 09,2000,46,1420,Quasar,Very bright quasar
NRAO 6500,21 12 21,+52 28 58,2000,46,1420,,
3C 348,16 51 08,+04 59 34,2000,45,1420,D Galaxy,
3C 10,00 25 13,+64 08 42,2000,44,1420,Tycho's SNR,
3C 218,09 18 06,-12 05 44,2000,43,1420,D Galaxy,
3C 139.1,05 22 25,+33 29 55,2000,40,1420,Emission Nebula,
NRAO 6620,21 29 24,+50 48 00,2000,37,1420,,
NRAO 6020,19 15 42,+11 02 00,2000,35,1420,,
3C 398,19 11 09,+09 06 24,2000,33,1420,,
NRAO 5720,18 38 15,-06 47 37,2000,30,1420,,
3C 153.1,06 09 36,+20 29 19,2000,29,1420,Emission Nebula,
NRAO 1560,04 04 50,+51 22 18,2000,26,1420,,
3C 147,05 42 36,+49 51 07,2000,23,1420,Quasar,Standard flux calibrator
3C 295,14 11 21,+52 12 09,2000,23,1420,D Galaxy,
3C 391,18 49 22,-00 55 21,2000,21,1420,SNR,
NRAO 1650,04 11 05,+51 09 08,2000,19,1420,,
3C 161,06 27 10,-05 53 05,2000,19,1420,,
NRAO 5790,18 46 07,-02 43 24,2000,19,1420,,
3C 270,12 19 23,+05 49 33,2000,18,1420,Elliptical Galaxy,
3C 48,01 37 41,+33 09 35,2000,16,1420,Quasar,Standard calibrator
3C 111,04 18 21,+38 01 36,2000,15,1420,,
3C 286,13 31 08,+30 30 33,2000,15,1420,Quasar,Primary flux calibration standard
NRAO 5840,18 53 20,+01 14 54,2000,15,1420,,
3C 84,03 19 48,+41 30 42,2000,14,1420,Seyfert Galaxy,
3C 196,08 13 36,+48 13 03,2000,14,1420,Quasar,
3C 380,18 29 32,+48 44 47,2000,14,1420,Quasar,
NRAO 5890,19 01 48,+01 46 53,2000,14,1420,,
3C 396,19 03 58,+05 22 30,2000,14,1420,,
3C 397,19 07 40,+07 08 39,2000,14,1420,SNR,
3C 409,20 14 28,+23 34 58,2000,14,1420,,
3C 33,01 08 53,+13 20 14,2000,13,1420,Elliptical Galaxy,
3C 20,00 43 09,+52 03 34,2000,12,1420,Galaxy,
NRAO 5670,18 32 00,-02 04 00,2000,12,1420,,
3C 390.3,18 42 09,+79 46 17,2000,12,1420,N Galaxy,
3C 433,21 23 45,+25 04 18,2000,12,1420,D Galaxy,
3C 434.1,21 25 04,+51 52 52,2000,12,1420,SNR,
3C 279,12 56 11,-05 47 22,2000,11,1420,Quasar,
NRAO 6070,19 18 06,+12 12 00,2000,11,1420,,
3C 452,22 45 49,+39 41 16,2000,11,1420,Elliptical Galaxy,
3C 454.3,22 53 58,+16 08 54,2000,11,1420,Quasar,
NRAO 6010,19 14 20,+11 09 06,2000,10,1420,,
3C 410,20 20 07,+29 42 14,2000,10,1420,,
